YEAR,MONTH,SUPPLIER,ITEM CODE,ITEM DESCRIPTION,ITEM TYPE,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES
2019,8,"THE COUNTRY VINTNER, LLC DBA WINEBOW",300870,PARCEL 41 MER - 750ML,WINE,0.0,0.0,1.0
2020,7,REPUBLIC NATIONAL DISTRIBUTING CO,77488,TAYLOR LAKE COUNTRY WH - 3L,WINE,1.5,0.0,1.0
2019,5,DIAGEO NORTH AMERICA INC,15164,CRAGGANAMORE SCOTCH 12YR - 750ML,LIQUOR,1.44,1.0,0.0
2017,12,FIVE GRAPES LLC,330360,TRE FRATELLI - 750ML,WINE,0.16,0.0,7.0
2018,1,LABATT USA OPERATING CO LLC,86878,SEAGRAM WILDBERRIES 6/4NR - 355ML,BEER,5.04,7.0,20.0
2019,11,CONSTANTINE WINES INC,308330,BOGLE PHANTOM - 3L,WINE,0.0,0.0,1.0
2017,6,LANTERNA DISTRIBUTORS INC,323534,BETWEEN THE VINES CHARD - 750ML,WINE,0.0,0.0,5.0
2019,4,BOSTON BEER CORPORATION,50759,SAM ADAMS NEW ENGLAND IPA 2/12PK 12OZ CANS,BEER,2.5,1.0,79.5
2019,5,MONSIEUR TOUTON SELECTION,329403,MASSERIA SURAN ARES - 750ML,WINE,0.0,0.0,2.0
2018,1,DC BRAU BREWING LLC,11083,DC BRAU ON THE WINGS OF ARMAGEDDON - 12OZ CAN,BEER,0.0,0.0,49.0
2017,11,PERNOD RICARD USA LLC,300684,ABSOLUT W/2 MASON JARS/STRAWS-750ML,LIQUOR,0.34,34.0,0.0
2019,2,EXCELSIOR WINE COMPANY LLC,24546,CYT FRONTERA CHARD 24/C - 187ML,WINE,0.41,0.0,0.0
2017,8,DOPS INC,26208,DAYOF THE DEAD PALE ALE 4/6NR - 12OZ,BEER,0.0,0.0,1.0
2017,7,SOUTHERN GLAZERS WINE AND SPIRITS,340638,NIETO SENETINER MALB (WOOD) - 750ML,WINE,0.0,0.0,1.0
2017,6,JIM BEAM BRANDS CO,20265,BEAM'S 8 STAR BLEND - 1.75L,LIQUOR,1.84,1.0,0.0
2019,10,THE WINE GROUP,81949,ALMADEN CHARD BIB - 5L,WINE,125.5,112.0,32.0
2017,9,TREASURY WINE ESTATES AMERICAS COMPANY,85040,BERINGER NAPA CAB - 750ML,WINE,0.64,0.0,0.0
2019,5,E & J GALLO WINERY,81657,LIVINGSTON CELLARS SANGRIA - 3L,WINE,0.0,1.0,8.0
2019,8,SANTA MARGHERITA USA INC,83660,SANTA MARGHERITA CHIANTI - 750ML,WINE,0.49,0.0,0.0
2019,2,OPICI FAMILY DISTRIBUTING OF MD,74909,GLENCADAM 13YR SM SCOTCH - 750ML,LIQUOR,0.17,0.0,0.0
2017,11,BACCHUS IMPORTERS LTD,73205,WIGLE HOPPED WHEAT WHISKEY - 750ML,LIQUOR,0.34,1.0,0.0
2019,2,REPUBLIC NATIONAL DISTRIBUTING CO,338835,PEBBLE LANE CHARD - 750ML,WINE,0.0,0.0,4.0
2020,3,MICHAEL R DOWNEY SELECTIONS INC,332627,CHEF GEOFF'S CAVA - 750ML,WINE,0.0,0.0,1.0
2020,3,RELIABLE CHURCHILL LLLP,40953,WILLIAMETTE VLY P/NOIR - 750ML,WINE,3.49,3.0,0.0
2019,2,DIAGEO NORTH AMERICA INC,74093,JOHNNIE WALKER AGED 18YR - 750ML,LIQUOR,24.85,22.0,0.0
2017,12,DIAGEO NORTH AMERICA INC,73107,NAKED TURTLE WHITE RUM - 1L,LIQUOR,7.99,5.0,0.0
2019,1,ROYAL WINE CORP,307831,BARTENURA PROSECCO BRUT - 750ML,WINE,1.79,2.0,5.0
2017,11,COASTAL BREWING COMPANY LLC,26192,FORDHAM GYPSY LAGER 1/2K,KEGS,0.0,0.0,1.0
2020,3,BRONCO WINE COMPANY,81456,COLORES DEL SOL MALBEC - 750ML,WINE,1.48,2.0,6.0
2019,2,ANHEUSER BUSCH INC,48932,GOLDEN ROAD WOLF PUP 2/15PK CAN,BEER,1.0,3.0,36.0
2019,2,VICTORY BREWING COMPANY LLC,23092,VICTORY PRIMA PILS 1/2K,KEGS,0.0,0.0,2.0
2019,1,HEINEKEN USA,51002,STRONGBOW VARIETY 3/12PK 8.5OZ SLIM CAN,BEER,0.0,0.0,13.5
2017,10,REPUBLIC NATIONAL DISTRIBUTING CO,316897,FREEMARK ABBEY SYCAMORE 05 - 750ML,WINE,0.17,0.0,0.0
2019,3,COASTAL BREWING COMPANY LLC,26031,DOMINION DOUBLE D DOUBLE IPA 4/6 NR - 12OZ,BEER,1.25,2.0,36.0
2017,9,CELICAR LLC DBA TWIN VALLEY DISTILLERS,11403,SUGAR ACT BARREL RUM - 750ML,LIQUOR,0.51,0.0,0.0
2020,3,LEGENDS LTD,69459,BITBURGER TRIPLE HOP'D LAGER 50L KEG,KEGS,0.0,0.0,1.0
